Timestamp,StationID,StationType,Metric,Value,ObjectID
25.1047,29,RSU,ChannelLoad,0,0
25.1047,29,RSU,ChannelLoad,0,0
25.1188,107,Vehicle,ChannelLoad,0,0
25.1188,107,Vehicle,ChannelLoad,0,0
25.1201,182,RSU,ChannelLoad,0,0
25.1201,182,RSU,ChannelLoad,0,0
25.1344,29,RSU,TX_Throughput,1603.16,0
25.1344,29,RSU,TX_ObjectCount,0,0
25.171,270,Vehicle,ChannelLoad,0,0
25.171,270,Vehicle,ChannelLoad,0,0
25.1831,343,Vehicle,ChannelLoad,0,0
25.1831,343,Vehicle,ChannelLoad,0,0
25.1863,107,Vehicle,TX_Throughput,2721.67,0
25.1863,107,Vehicle,TX_ObjectCount,0,0
25.1871,416,Vehicle,ChannelLoad,0,0
25.1871,416,Vehicle,ChannelLoad,0,0
25.1939,489,Vehicle,ChannelLoad,0,0
25.1939,489,Vehicle,ChannelLoad,0,0
25.1961,562,Vehicle,ChannelLoad,0,0
25.1961,562,Vehicle,ChannelLoad,0,0
25.202,639,Vehicle,ChannelLoad,0,0
25.202,639,Vehicle,ChannelLoad,0,0
25.2047,29,RSU,ChannelLoad,0.0048,0
25.2047,29,RSU,ChannelLoad,0.0048,0
25.2059,712,Vehicle,ChannelLoad,0,0
25.2059,712,Vehicle,ChannelLoad,0,0
25.2105,270,Vehicle,TX_Throughput,3269.12,0
25.2105,270,Vehicle,TX_ObjectCount,0,0
25.2151,712,Vehicle,TX_Throughput,7103.79,0
25.2151,712,Vehicle,TX_ObjectCount,1,0
25.2156,639,Vehicle,TX_Throughput,4015.94,0
25.2156,639,Vehicle,TX_ObjectCount,0,0
25.2166,182,RSU,TX_Throughput,4111.09,0
25.2166,182,RSU,TX_ObjectCount,2,0
25.2183,787,Vehicle,ChannelLoad,0.0048,0
25.2183,787,Vehicle,ChannelLoad,0.0048,0
25.2188,107,Vehicle,ChannelLoad,0.004,0
25.2188,107,Vehicle,ChannelLoad,0.004,0
25.2201,182,RSU,ChannelLoad,0,0
25.2201,182,RSU,ChannelLoad,0,0
25.2202,862,Vehicle,ChannelLoad,0.0048,0
25.2202,862,Vehicle,ChannelLoad,0.0048,0
25.2318,937,Vehicle,ChannelLoad,0,0
25.2318,937,Vehicle,ChannelLoad,0,0
25.2341,416,Vehicle,TX_Throughput,3101.76,0
25.2341,416,Vehicle,TX_ObjectCount,0,0
25.2344,29,RSU,TX_Throughput,5280,0
25.2344,29,RSU,TX_ObjectCount,1,0
25.2344,562,Vehicle,TX_Throughput,3296.08,0
25.2344,562,Vehicle,TX_ObjectCount,0,0
25.2404,1014,Vehicle,ChannelLoad,0,0
25.2404,1014,Vehicle,ChannelLoad,0,0
25.2438,343,Vehicle,TX_Throughput,4830.7,0
25.2438,343,Vehicle,TX_ObjectCount,1,0
25.2464,1089,RSU,ChannelLoad,0.00688,0
25.2464,1089,RSU,ChannelLoad,0.00688,0
25.2539,937,Vehicle,TX_Throughput,3733.84,0
25.2539,937,Vehicle,TX_ObjectCount,0,0
25.259,1165,Vehicle,ChannelLoad,0.01088,0
25.259,1165,Vehicle,ChannelLoad,0.01088,0
25.26,489,Vehicle,TX_Throughput,2746.7,0
25.26,489,Vehicle,TX_ObjectCount,0,0
25.2613,1238,Vehicle,ChannelLoad,0.0096,0
25.2613,1238,Vehicle,ChannelLoad,0.0096,0
25.2649,1311,RSU,ChannelLoad,0,0
25.2649,1311,RSU,ChannelLoad,0,0
25.2709,1385,Vehicle,ChannelLoad,0.00672,0
25.2709,1385,Vehicle,ChannelLoad,0.00672,0
25.271,270,Vehicle,ChannelLoad,0.0048,0
25.271,270,Vehicle,ChannelLoad,0.0048,0
25.2735,787,Vehicle,TX_Throughput,2938.49,0
25.2735,787,Vehicle,TX_ObjectCount,0,0
25.2816,1311,RSU,TX_Throughput,1782.58,0
25.2816,1311,RSU,TX_ObjectCount,0,0
25.2817,1089,RSU,TX_Throughput,3904.43,0
25.2817,1089,RSU,TX_ObjectCount,1,0
25.2831,343,Vehicle,ChannelLoad,0.00192,0
25.2831,343,Vehicle,ChannelLoad,0.00192,0
25.2832,1458,RSU,ChannelLoad,0.01144,0
25.2832,1458,RSU,ChannelLoad,0.01144,0
25.2863,1532,Vehicle,ChannelLoad,0.00672,0
25.2863,1532,Vehicle,ChannelLoad,0.00672,0
25.2863,107,Vehicle,TX_Throughput,4560,0
25.2863,107,Vehicle,TX_ObjectCount,0,0
25.2871,416,Vehicle,ChannelLoad,0.01168,0
25.2871,416,Vehicle,ChannelLoad,0.01168,0
25.2932,1532,Vehicle,TX_Throughput,4265,0
25.2932,1532,Vehicle,TX_ObjectCount,0,0
25.2939,489,Vehicle,ChannelLoad,0.00472,0
25.2939,489,Vehicle,ChannelLoad,0.00472,0
25.2941,1014,Vehicle,TX_Throughput,2966.78,0
25.2941,1014,Vehicle,TX_ObjectCount,0,0
25.2961,562,Vehicle,ChannelLoad,0,0
25.2961,562,Vehicle,ChannelLoad,0,0
25.2966,1605,Vehicle,ChannelLoad,0.01152,0
25.2966,1605,Vehicle,ChannelLoad,0.01152,0
25.2972,1458,RSU,TX_Throughput,1824.61,0
25.2972,1458,RSU,TX_ObjectCount,0,0
25.302,639,Vehicle,ChannelLoad,0.0048,0
25.302,639,Vehicle,ChannelLoad,0.0048,0
25.3047,29,RSU,ChannelLoad,0.004,0
25.3047,29,RSU,ChannelLoad,0.004,0
25.3059,712,Vehicle,ChannelLoad,0,0
25.3059,712,Vehicle,ChannelLoad,0,0
25.3089,1678,Vehicle,ChannelLoad,0.00208,0
25.3089,1678,Vehicle,ChannelLoad,0.00208,0
25.3105,270,Vehicle,TX_Throughput,4560,0
25.3105,270,Vehicle,TX_ObjectCount,0,0
25.3151,712,Vehicle,TX_Throughput,7760,0
25.3151,712,Vehicle,TX_ObjectCount,1,0
25.3156,639,Vehicle,TX_Throughput,4560,0
25.3156,639,Vehicle,TX_ObjectCount,0,0
25.3166,182,RSU,TX_Throughput,8080,0
25.3166,182,RSU,TX_ObjectCount,2,0
25.3168,1755,Vehicle,ChannelLoad,0.02376,0
25.3168,1755,Vehicle,ChannelLoad,0.02376,0
25.3171,862,Vehicle,TX_Throughput,2315.94,0
25.3171,862,Vehicle,TX_ObjectCount,0,0
25.3183,787,Vehicle,ChannelLoad,0.00896,0
25.3183,787,Vehicle,ChannelLoad,0.00896,0
25.3188,107,Vehicle,ChannelLoad,0.00424,0
25.3188,107,Vehicle,ChannelLoad,0.00424,0
25.3201,182,RSU,ChannelLoad,0.00816,0
25.3201,182,RSU,ChannelLoad,0.00816,0
25.3202,862,Vehicle,ChannelLoad,0.00896,0
25.3202,862,Vehicle,ChannelLoad,0.00896,0
25.3223,1828,Vehicle,ChannelLoad,0.00416,0
25.3223,1828,Vehicle,ChannelLoad,0.00416,0
25.3231,1901,RSU,ChannelLoad,0.0104,0
25.3231,1901,RSU,ChannelLoad,0.0104,0
25.3318,937,Vehicle,ChannelLoad,0.0048,0
25.3318,937,Vehicle,ChannelLoad,0.0048,0
25.3341,416,Vehicle,TX_Throughput,4560,0
25.3341,416,Vehicle,TX_ObjectCount,0,0
25.3344,29,RSU,TX_Throughput,5280,0
25.3344,29,RSU,TX_ObjectCount,1,0
25.3344,562,Vehicle,TX_Throughput,4560,0
25.3344,562,Vehicle,TX_ObjectCount,0,0
25.3348,1755,Vehicle,TX_Throughput,3866.08,0
25.3348,1755,Vehicle,TX_ObjectCount,0,0
25.3404,1014,Vehicle,ChannelLoad,0.0088,0
25.3404,1014,Vehicle,ChannelLoad,0.0088,0
25.3431,1165,Vehicle,TX_Throughput,2476.73,0
25.3431,1165,Vehicle,TX_ObjectCount,0,0
25.3438,343,Vehicle,TX_Throughput,7760,0
25.3438,343,Vehicle,TX_ObjectCount,1,0
25.3454,1678,Vehicle,TX_Throughput,3339.45,0
25.3454,1678,Vehicle,TX_ObjectCount,0,0
25.3464,1089,RSU,ChannelLoad,0.02512,0
25.3464,1089,RSU,ChannelLoad,0.02512,0
25.3481,1238,Vehicle,TX_Throughput,4153.9,0
25.3481,1238,Vehicle,TX_ObjectCount,1,0
25.3488,1977,RSU,ChannelLoad,0.01448,0
25.3488,1977,RSU,ChannelLoad,0.01448,0
25.3533,2051,Vehicle,ChannelLoad,0.0184,0
25.3533,2051,Vehicle,ChannelLoad,0.0184,0
25.3539,937,Vehicle,TX_Throughput,4560,0
25.3539,937,Vehicle,TX_ObjectCount,0,0
25.3557,1385,Vehicle,TX_Throughput,2467.52,0
25.3557,1385,Vehicle,TX_ObjectCount,0,0
25.359,1165,Vehicle,ChannelLoad,0.00432,0
25.359,1165,Vehicle,ChannelLoad,0.00432,0
25.36,489,Vehicle,TX_Throughput,4560,0
25.36,489,Vehicle,TX_ObjectCount,0,0
25.3613,1238,Vehicle,ChannelLoad,0.02432,0
25.3613,1238,Vehicle,ChannelLoad,0.02432,0
25.3647,2126,RSU,ChannelLoad,0.01288,0
25.3647,2126,RSU,ChannelLoad,0.01288,0
25.3649,1311,RSU,ChannelLoad,0.00688,0
25.3649,1311,RSU,ChannelLoad,0.00688,0
25.3654,2200,Vehicle,ChannelLoad,0.014,0
25.3654,2200,Vehicle,ChannelLoad,0.014,0
25.3688,1605,Vehicle,TX_Throughput,2648,0
25.3688,1605,Vehicle,TX_ObjectCount,0,0
25.37,2273,RSU,ChannelLoad,0.02096,0
25.37,2273,RSU,ChannelLoad,0.02096,0
25.3709,1385,Vehicle,ChannelLoad,0.01632,0
25.3709,1385,Vehicle,ChannelLoad,0.01632,0
25.371,270,Vehicle,ChannelLoad,0.00888,0
25.371,270,Vehicle,ChannelLoad,0.00888,0
25.3727,2347,Vehicle,ChannelLoad,0.00408,0
25.3727,2347,Vehicle,ChannelLoad,0.00408,0
25.3735,787,Vehicle,TX_Throughput,4560,0
25.3735,787,Vehicle,TX_ObjectCount,0,0
25.3777,2420,Vehicle,ChannelLoad,0.0108,0
25.3777,2420,Vehicle,ChannelLoad,0.0108,0
25.3816,1311,RSU,TX_Throughput,2080,0
25.3816,1311,RSU,TX_ObjectCount,0,0
25.3817,1089,RSU,TX_Throughput,5280,0
25.3817,1089,RSU,TX_ObjectCount,1,0
25.3831,343,Vehicle,ChannelLoad,0.01816,0
25.3831,343,Vehicle,ChannelLoad,0.01816,0
25.3832,1458,RSU,ChannelLoad,0.02096,0
25.3832,1458,RSU,ChannelLoad,0.02096,0
25.3857,2126,RSU,TX_Throughput,6678.55,0
25.3857,2126,RSU,TX_ObjectCount,2,0
25.3863,1532,Vehicle,ChannelLoad,0.01616,0
25.3863,1532,Vehicle,ChannelLoad,0.01616,0
25.3863,107,Vehicle,TX_Throughput,4560,0
25.3863,107,Vehicle,TX_ObjectCount,0,0
25.3871,416,Vehicle,ChannelLoad,0.01368,0
25.3871,416,Vehicle,ChannelLoad,0.01368,0
25.3873,2200,Vehicle,TX_Throughput,3741.54,0
25.3873,2200,Vehicle,TX_ObjectCount,0,0
25.3885,2495,RSU,ChannelLoad,0.02784,0
25.3885,2495,RSU,ChannelLoad,0.02784,0
25.3894,2569,RSU,ChannelLoad,0.02384,0
25.3894,2569,RSU,ChannelLoad,0.02384,0
25.3932,1532,Vehicle,TX_Throughput,4560,0
25.3932,1532,Vehicle,TX_ObjectCount,0,0
25.3939,489,Vehicle,ChannelLoad,0.00192,0
25.3939,489,Vehicle,ChannelLoad,0.00192,0
25.3941,1014,Vehicle,TX_Throughput,4560,0
25.3941,1014,Vehicle,TX_ObjectCount,0,0
25.3961,562,Vehicle,ChannelLoad,0.00968,0
25.3961,562,Vehicle,ChannelLoad,0.00968,0
25.3966,1605,Vehicle,ChannelLoad,0.00824,0
25.3966,1605,Vehicle,ChannelLoad,0.00824,0
25.3972,1458,RSU,TX_Throughput,2080,0
25.3972,1458,RSU,TX_ObjectCount,0,0
25.3981,2347,Vehicle,TX_Throughput,6186.44,0
25.3981,2347,Vehicle,TX_ObjectCount,1,0
25.4017,1828,Vehicle,TX_Throughput,5887.28,0
25.4017,1828,Vehicle,TX_ObjectCount,2,0
25.402,639,Vehicle,ChannelLoad,0.0076,0
25.402,639,Vehicle,ChannelLoad,0.0076,0
25.4047,29,RSU,ChannelLoad,0.02016,0
25.4047,29,RSU,ChannelLoad,0.02016,0
25.4059,712,Vehicle,ChannelLoad,0.0096,0
25.4059,712,Vehicle,ChannelLoad,0.0096,0
25.4089,1678,Vehicle,ChannelLoad,0.00112,0
25.4089,1678,Vehicle,ChannelLoad,0.00112,0
25.4105,270,Vehicle,TX_Throughput,4560,0
25.4105,270,Vehicle,TX_ObjectCount,0,0
25.4151,712,Vehicle,TX_Throughput,7760,0
25.4151,712,Vehicle,TX_ObjectCount,1,0
25.4156,639,Vehicle,TX_Throughput,4560,0
25.4156,639,Vehicle,TX_ObjectCount,0,0
25.4166,182,RSU,TX_Throughput,5280,0
25.4166,182,RSU,TX_ObjectCount,1,0
25.4168,1755,Vehicle,ChannelLoad,0.02424,0
25.4168,1755,Vehicle,ChannelLoad,0.02424,0
25.4171,862,Vehicle,TX_Throughput,7760,0
25.4171,862,Vehicle,TX_ObjectCount,1,0
25.4172,2649,Vehicle,ChannelLoad,0.01376,0
25.4172,2649,Vehicle,ChannelLoad,0.01376,0
25.4175,1901,RSU,TX_Throughput,5596.36,0
25.4175,1901,RSU,TX_ObjectCount,3,0
25.4183,787,Vehicle,ChannelLoad,0.02024,0
25.4183,787,Vehicle,ChannelLoad,0.02024,0
25.4186,2724,Vehicle,ChannelLoad,0.00896,0
25.4186,2724,Vehicle,ChannelLoad,0.00896,0
25.4188,107,Vehicle,ChannelLoad,0.01552,0
25.4188,107,Vehicle,ChannelLoad,0.01552,0
25.4191,2273,RSU,TX_Throughput,3542.53,0
25.4191,2273,RSU,TX_ObjectCount,1,0
25.4201,182,RSU,ChannelLoad,0.0116,0
25.4201,182,RSU,ChannelLoad,0.0116,0
25.4202,862,Vehicle,ChannelLoad,0.00888,0
25.4202,862,Vehicle,ChannelLoad,0.00888,0
25.4212,2051,Vehicle,TX_Throughput,2715.76,0
25.4212,2051,Vehicle,TX_ObjectCount,0,0
25.4223,1828,Vehicle,ChannelLoad,0.01008,0
25.4223,1828,Vehicle,ChannelLoad,0.01008,0
25.4231,1901,RSU,ChannelLoad,0.01288,0
25.4231,1901,RSU,ChannelLoad,0.01288,0
25.425,2799,Vehicle,ChannelLoad,0.01536,0
25.425,2799,Vehicle,ChannelLoad,0.01536,0
25.4318,937,Vehicle,ChannelLoad,0.01768,0
25.4318,937,Vehicle,ChannelLoad,0.01768,0
25.4341,416,Vehicle,TX_Throughput,4560,0
25.4341,416,Vehicle,TX_ObjectCount,0,0
25.4344,29,RSU,TX_Throughput,8080,0
25.4344,29,RSU,TX_ObjectCount,2,0
25.4344,562,Vehicle,TX_Throughput,4560,0
25.4344,562,Vehicle,TX_ObjectCount,0,0
25.4348,1755,Vehicle,TX_Throughput,4560,0
25.4348,1755,Vehicle,TX_ObjectCount,0,0
25.435,2569,RSU,TX_Throughput,1428.56,0
25.435,2569,RSU,TX_ObjectCount,0,0
25.438,2874,Vehicle,ChannelLoad,0.0088,0
25.438,2874,Vehicle,ChannelLoad,0.0088,0
25.4404,1014,Vehicle,ChannelLoad,0.01288,0
25.4404,1014,Vehicle,ChannelLoad,0.01288,0
25.4422,1977,RSU,TX_Throughput,1075.37,0
25.4422,1977,RSU,TX_ObjectCount,0,0
25.4431,1165,Vehicle,TX_Throughput,4560,0
25.4431,1165,Vehicle,TX_ObjectCount,0,0
25.4438,343,Vehicle,TX_Throughput,7760,0
25.4438,343,Vehicle,TX_ObjectCount,1,0
25.4454,1678,Vehicle,TX_Throughput,4560,0
25.4454,1678,Vehicle,TX_ObjectCount,0,0
25.4464,1089,RSU,ChannelLoad,0.0276,0
25.4464,1089,RSU,ChannelLoad,0.0276,0
25.4474,2420,Vehicle,TX_Throughput,4574.55,0
25.4474,2420,Vehicle,TX_ObjectCount,1,0
25.4481,1238,Vehicle,TX_Throughput,4560,0
25.4481,1238,Vehicle,TX_ObjectCount,0,0
25.4488,1977,RSU,ChannelLoad,0.01544,0
25.4488,1977,RSU,ChannelLoad,0.01544,0
25.4533,2051,Vehicle,ChannelLoad,0.02336,0
25.4533,2051,Vehicle,ChannelLoad,0.02336,0
25.4539,937,Vehicle,TX_Throughput,4560,0
25.4539,937,Vehicle,TX_ObjectCount,0,0
25.4557,1385,Vehicle,TX_Throughput,4560,0
25.4557,1385,Vehicle,TX_ObjectCount,0,0
25.4582,2947,Vehicle,ChannelLoad,0.00816,0
25.4582,2947,Vehicle,ChannelLoad,0.00816,0
25.459,1165,Vehicle,ChannelLoad,0.01712,0
25.459,1165,Vehicle,ChannelLoad,0.01712,0
25.4594,3020,Vehicle,ChannelLoad,0.01456,0
25.4594,3020,Vehicle,ChannelLoad,0.01456,0
25.46,489,Vehicle,TX_Throughput,4560,0
25.46,489,Vehicle,TX_ObjectCount,0,0
25.4613,1238,Vehicle,ChannelLoad,0.01616,0
25.4613,1238,Vehicle,ChannelLoad,0.01616,0
25.4637,3095,Vehicle,ChannelLoad,0.02872,0
25.4637,3095,Vehicle,ChannelLoad,0.02872,0
25.4647,2126,RSU,ChannelLoad,0.01776,0
25.4647,2126,RSU,ChannelLoad,0.01776,0
25.4649,1311,RSU,ChannelLoad,0.02088,0
25.4649,1311,RSU,ChannelLoad,0.02088,0
